VoteIntention,Region,Gender,Ethnicity,MaritalStatus,Age,Housing,Qualifications
LiberalDemocrat,scotland,female,white,Partner/Single,23,Rent/Other,Technical/None/Other
Conservative,east anglia,female,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
Other,yorkshire & humberside,male,white,Partner/Single,46,Rent/Other,Technical/None/Other
LiberalDemocrat,south west,male,white,Married/Widowed,53,Owns/Outright,GCSE
Labour,north west,female,white,Married/Widowed,55,Owns/Mortgage,BA
NA,wales,female,white,Married/Widowed,68,Owns/Outright,GCE
Other,west midlands,male,white,Married/Widowed,45,Owns/Mortgage,BA
NA,west midlands,female,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
LiberalDemocrat,greater london,female,asian or asian british,Partner/Single,20,Rent/Other,GCE
Conservative,greater london,female,white,Married/Widowed,56,Owns/Outright,Technical/None/Other
Conservative,west midlands,male,white,Married/Widowed,76,Owns/Mortgage,BA
Conservative,north west,female,white,Married/Widowed,55,Owns/Outright,Technical/None/Other
NA,north west,female,white,Married/Widowed,64,Owns/Mortgage,GCE
NA,east midlands,male,white,Married/Widowed,29,Rent/Other,BA
NA,west midlands,female,white,Married/Widowed,65,Rent/Other,Technical/None/Other
NA,wales,male,white,Partner/Single,50,Owns/Mortgage,Technical/None/Other
Conservative,yorkshire & humberside,female,white,Partner/Single,63,Owns/Outright,Technical/None/Other
Labour,north west,female,white,Partner/Single,28,Rent/Other,BA
NA,greater london,male,white,Married/Widowed,59,Owns/Outright,Technical/None/Other
Labour,yorkshire & humberside,male,white,Married/Widowed,67,Rent/Other,GCE
Labour,east midlands,female,white,Seperated/Divorced,56,Owns/Mortgage,GCE
Labour,greater london,female,white,Married/Widowed,45,Owns/Mortgage,BA
LiberalDemocrat,south west,female,white,Partner/Single,34,Owns/Mortgage,GCE
LiberalDemocrat,east midlands,male,white,Partner/Single,46,Owns/Mortgage,GCE
NA,scotland,female,white,Married/Widowed,28,Owns/Mortgage,BA
Conservative,north west,female,white,Partner/Single,47,Owns/Outright,GCSE
NA,yorkshire & humberside,female,white,Partner/Single,59,Owns/Outright,BA
NA,north west,female,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
Conservative,north,female,white,Married/Widowed,34,Owns/Mortgage,BA
NA,yorkshire & humberside,male,white,Married/Widowed,51,Owns/Mortgage,BA
NA,scotland,female,white,Married/Widowed,46,Owns/Mortgage,BA
Labour,south east,female,white,Seperated/Divorced,66,Owns/Outright,BA
Conservative,south east,male,white,Married/Widowed,66,Owns/Mortgage,BA
NA,north west,male,white,Married/Widowed,62,Owns/Mortgage,GCE
NA,north west,male,asian or asian british,Married/Widowed,34,Owns/Mortgage,BA
LiberalDemocrat,east midlands,male,white,Married/Widowed,53,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Partner/Single,54,Rent/Other,GCE
Labour,north west,female,other ethnic background,Partner/Single,20,Rent/Other,GCE
NA,south east,female,white,Seperated/Divorced,52,Rent/Other,GCSE
Conservative,north west,male,white,Married/Widowed,66,Owns/Outright,GCE
NA,east midlands,male,white,Married/Widowed,54,Owns/Outright,Technical/None/Other
NA,greater london,female,white,Partner/Single,36,Rent/Other,BA
NA,greater london,female,white,Married/Widowed,42,Owns/Mortgage,GCE
LiberalDemocrat,south east,male,white,Married/Widowed,44,Rent/Other,Technical/None/Other
NA,east anglia,male,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
Conservative,west midlands,female,white,Married/Widowed,59,Owns/Mortgage,BA
Conservative,north,female,white,Partner/Single,64,Owns/Outright,Technical/None/Other
LiberalDemocrat,greater london,male,white,Partner/Single,21,Owns/Mortgage,GCE
NA,west midlands,male,white,Partner/Single,22,Rent/Other,BA
Other,greater london,female,white,Married/Widowed,68,Owns/Mortgage,BA
NA,east midlands,female,white,Married/Widowed,46,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,west midlands,male,white,Married/Widowed,72,Owns/Outright,Technical/None/Other
NA,yorkshire & humberside,female,white,Partner/Single,41,Owns/Mortgage,GCE
Conservative,west midlands,female,white,Married/Widowed,51,Owns/Mortgage,GCE
Conservative,west midlands,female,white,Married/Widowed,65,Owns/Outright,BA
Conservative,greater london,male,white,Partner/Single,28,Rent/Other,BA
Other,south east,male,white,Married/Widowed,62,Rent/Other,BA
NA,west midlands,male,white,Married/Widowed,54,Owns/Mortgage,GCE
Conservative,south east,male,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
LiberalDemocrat,wales,male,white,Married/Widowed,62,Owns/Outright,GCE
NA,north west,female,white,Married/Widowed,75,Owns/Outright,GCE
Other,west midlands,male,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
Conservative,north west,female,white,Married/Widowed,57,Owns/Mortgage,GCE
Other,east midlands,male,white,Partner/Single,24,Rent/Other,GCE
Conservative,south east,female,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,60,Owns/Outright,GCE
LiberalDemocrat,south east,female,white,Partner/Single,55,Owns/Mortgage,BA
Conservative,north west,male,white,Seperated/Divorced,72,Owns/Outright,GCE
Conservative,south east,male,white,Married/Widowed,43,Owns/Mortgage,BA
NA,south east,female,white,Married/Widowed,73,Owns/Outright,Technical/None/Other
LiberalDemocrat,scotland,male,white,Married/Widowed,53,Owns/Mortgage,GCSE
Labour,north west,female,white,Married/Widowed,60,Owns/Outright,GCE
NA,north west,female,white,Married/Widowed,58,Owns/Outright,BA
NA,south east,female,white,Married/Widowed,63,Owns/Outright,BA
NA,greater london,female,white,Partner/Single,65,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,51,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,south east,female,white,Married/Widowed,30,Owns/Outright,GCE
NA,south east,female,white,Partner/Single,47,Owns/Outright,BA
Conservative,south west,male,white,Seperated/Divorced,43,Rent/Other,Technical/None/Other
Conservative,north west,female,white,Seperated/Divorced,59,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north west,male,white,Married/Widowed,38,Owns/Outright,GCSE
Labour,north west,female,white,Married/Widowed,42,Owns/Mortgage,BA
Labour,wales,female,white,Married/Widowed,48,Owns/Mortgage,BA
NA,south west,female,white,Partner/Single,50,Owns/Mortgage,Technical/None/Other
NA,south west,male,other ethnic background,Married/Widowed,54,Owns/Mortgage,BA
NA,greater london,female,white,Married/Widowed,37,Owns/Outright,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,50,Rent/Other,GCE
LiberalDemocrat,scotland,male,white,Married/Widowed,56,Owns/Outright,Technical/None/Other
Labour,north,female,white,Married/Widowed,56,Rent/Other,Technical/None/Other
NA,scotland,female,white,Partner/Single,33,Owns/Mortgage,GCE
Conservative,south west,male,white,Partner/Single,46,Owns/Mortgage,GCE
Labour,south east,male,white,Partner/Single,28,Owns/Mortgage,GCE
NA,yorkshire & humberside,female,white,Partner/Single,43,Owns/Outright,Technical/None/Other
NA,greater london,male,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
LiberalDemocrat,east anglia,female,white,Married/Widowed,37,Rent/Other,Technical/None/Other
NA,south east,female,white,Seperated/Divorced,59,Owns/Mortgage,BA
Conservative,south east,female,white,Married/Widowed,33,Owns/Mortgage,BA
NA,west midlands,male,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
Labour,greater london,male,white,Seperated/Divorced,55,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,west midlands,male,white,Partner/Single,36,Owns/Mortgage,BA
LiberalDemocrat,south west,female,white,Seperated/Divorced,49,Owns/Mortgage,GCSE
LiberalDemocrat,north west,female,white,Married/Widowed,37,Owns/Outright,BA
Other,west midlands,female,white,Partner/Single,33,Owns/Outright,Technical/None/Other
LiberalDemocrat,south east,male,white,Partner/Single,38,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,south east,female,white,Married/Widowed,55,Owns/Mortgage,GCE
Conservative,yorkshire & humberside,male,white,Married/Widowed,76,Owns/Outright,GCE
NA,west midlands,female,white,Married/Widowed,44,Owns/Mortgage,GCE
LiberalDemocrat,greater london,female,white,Married/Widowed,50,Rent/Other,GCE
Conservative,greater london,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
NA,north,male,white,Married/Widowed,49,Owns/Mortgage,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,73,Owns/Outright,GCE
Labour,yorkshire & humberside,female,white,Seperated/Divorced,59,Owns/Outright,BA
Other,north west,female,white,Seperated/Divorced,47,Owns/Mortgage,GCSE
NA,wales,female,white,Seperated/Divorced,73,Owns/Outright,GCSE
NA,greater london,male,mixed background,Married/Widowed,49,Owns/Outright,GCE
NA,south east,male,white,Married/Widowed,53,Owns/Mortgage,GCSE
LiberalDemocrat,south west,female,white,Married/Widowed,49,Owns/Outright,GCE
Conservative,east midlands,female,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
Labour,east anglia,male,white,Seperated/Divorced,41,Rent/Other,BA
LiberalDemocrat,scotland,female,white,Partner/Single,63,Owns/Outright,Technical/None/Other
Conservative,south east,female,white,Seperated/Divorced,51,Rent/Other,GCE
NA,south east,female,white,Seperated/Divorced,65,Owns/Outright,GCE
NA,north west,male,white,Married/Widowed,44,Owns/Mortgage,Technical/None/Other
Labour,south west,female,white,Married/Widowed,55,Owns/Outright,GCSE
Labour,south west,female,white,Partner/Single,47,Owns/Mortgage,BA
LiberalDemocrat,south east,female,white,Partner/Single,41,Owns/Mortgage,GCSE
NA,east midlands,female,white,Married/Widowed,50,Owns/Outright,Technical/None/Other
Labour,east midlands,male,white,Partner/Single,29,Rent/Other,GCE
NA,north west,female,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
NA,south east,male,white,Seperated/Divorced,72,Owns/Outright,GCE
Conservative,east anglia,female,white,Married/Widowed,50,Rent/Other,Technical/None/Other
Conservative,east anglia,female,white,Partner/Single,62,Owns/Mortgage,GCSE
LiberalDemocrat,yorkshire & humberside,male,white,Seperated/Divorced,57,Owns/Outright,BA
Other,east midlands,female,white,Married/Widowed,45,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Married/Widowed,46,Owns/Mortgage,BA
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,58,Owns/Mortgage,Technical/None/Other
Conservative,west midlands,female,white,Seperated/Divorced,68,Owns/Outright,Technical/None/Other
NA,east anglia,male,white,Partner/Single,28,Rent/Other,GCE
NA,north,male,white,Married/Widowed,66,Owns/Outright,BA
LiberalDemocrat,yorkshire & humberside,female,white,Partner/Single,24,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,53,Owns/Mortgage,GCE
Labour,north west,female,white,Partner/Single,40,Rent/Other,GCE
LiberalDemocrat,greater london,female,white,Partner/Single,56,Owns/Mortgage,GCE
LiberalDemocrat,greater london,female,white,Married/Widowed,59,Rent/Other,BA
NA,south east,female,white,Partner/Single,67,Owns/Mortgage,BA
Labour,north west,female,white,Partner/Single,28,Rent/Other,BA
NA,scotland,female,white,Married/Widowed,59,Owns/Outright,GCE
LiberalDemocrat,south east,male,white,Married/Widowed,65,Owns/Outright,GCE
Conservative,north west,female,white,Seperated/Divorced,60,Rent/Other,GCE
Conservative,east anglia,female,white,Partner/Single,28,Owns/Mortgage,GCE
NA,north west,female,white,Partner/Single,46,Rent/Other,Technical/None/Other
Conservative,yorkshire & humberside,female,white,Seperated/Divorced,61,Rent/Other,Technical/None/Other
Conservative,north west,female,white,Married/Widowed,63,Owns/Outright,BA
Labour,wales,female,white,Married/Widowed,63,Owns/Outright,GCSE
Conservative,south east,female,white,Married/Widowed,65,Owns/Outright,GCSE
NA,greater london,male,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
Conservative,south west,male,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
NA,yorkshire & humberside,male,white,Married/Widowed,53,Owns/Outright,Technical/None/Other
LiberalDemocrat,south west,female,white,Married/Widowed,46,Rent/Other,GCSE
Labour,south east,male,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
Labour,east anglia,male,white,Married/Widowed,52,Owns/Mortgage,GCSE
NA,greater london,male,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
NA,scotland,male,white,Partner/Single,41,Owns/Mortgage,BA
Labour,scotland,male,white,Married/Widowed,54,Owns/Mortgage,Technical/None/Other
Labour,greater london,female,asian or asian british,Married/Widowed,34,Owns/Mortgage,BA
Labour,wales,male,white,Married/Widowed,57,Rent/Other,Technical/None/Other
NA,north west,male,white,Married/Widowed,70,Owns/Outright,Technical/None/Other
Labour,south west,male,white,Married/Widowed,65,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Partner/Single,22,Rent/Other,BA
NA,greater london,female,white,Married/Widowed,93,Rent/Other,Technical/None/Other
Conservative,south east,male,white,Married/Widowed,63,Owns/Outright,BA
Labour,north west,male,white,Married/Widowed,55,Rent/Other,Technical/None/Other
LiberalDemocrat,north west,male,white,Married/Widowed,63,Owns/Outright,GCSE
LiberalDemocrat,greater london,female,white,Married/Widowed,33,Owns/Mortgage,Technical/None/Other
Conservative,south east,male,white,Partner/Single,47,Owns/Mortgage,Technical/None/Other
Labour,south east,male,white,Married/Widowed,53,Owns/Outright,GCSE
LiberalDemocrat,wales,female,white,Partner/Single,52,Owns/Outright,BA
Conservative,south west,male,white,Married/Widowed,76,Owns/Outright,BA
Other,scotland,female,white,Married/Widowed,46,Owns/Mortgage,GCE
LiberalDemocrat,yorkshire & humberside,female,white,Married/Widowed,66,Owns/Mortgage,Technical/None/Other
NA,greater london,male,white,Partner/Single,44,Rent/Other,BA
NA,south east,female,white,Married/Widowed,68,Owns/Outright,GCSE
NA,east midlands,male,white,Married/Widowed,65,Owns/Outright,GCE
Conservative,south east,male,white,Partner/Single,31,Owns/Outright,GCSE
LiberalDemocrat,south west,male,white,Married/Widowed,48,Owns/Mortgage,GCSE
Conservative,east midlands,male,white,Married/Widowed,54,Owns/Outright,Technical/None/Other
NA,east midlands,male,white,Partner/Single,52,Owns/Mortgage,GCE
NA,west midlands,male,white,Married/Widowed,68,Owns/Outright,BA
NA,south east,male,white,Partner/Single,43,Rent/Other,GCE
NA,north west,female,white,Married/Widowed,53,Owns/Outright,BA
Other,east midlands,female,white,Partner/Single,25,Rent/Other,BA
Other,east midlands,male,white,Married/Widowed,76,Owns/Outright,Technical/None/Other
LiberalDemocrat,south east,male,white,Married/Widowed,69,Owns/Outright,Technical/None/Other
Other,scotland,male,white,Partner/Single,30,Rent/Other,BA
NA,east midlands,female,white,Partner/Single,29,Rent/Other,BA
Other,greater london,female,white,Partner/Single,41,Rent/Other,GCSE
NA,south east,male,white,Partner/Single,38,Owns/Mortgage,Technical/None/Other
Conservative,east anglia,male,white,Married/Widowed,50,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north west,male,white,Married/Widowed,57,Owns/Mortgage,GCE
Conservative,south east,male,white,Married/Widowed,81,Owns/Outright,Technical/None/Other
LiberalDemocrat,east anglia,female,white,Married/Widowed,53,Owns/Mortgage,GCSE
NA,south east,female,white,Married/Widowed,58,Owns/Outright,BA
NA,north,female,white,Partner/Single,27,Owns/Mortgage,BA
NA,west midlands,female,white,Partner/Single,34,Rent/Other,GCSE
LiberalDemocrat,south west,female,mixed background,Partner/Single,40,Owns/Mortgage,BA
Conservative,scotland,male,white,Married/Widowed,64,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,52,Rent/Other,GCE
Labour,north,male,white,Married/Widowed,76,Owns/Mortgage,Technical/None/Other
NA,north west,male,white,Partner/Single,45,Owns/Outright,BA
Labour,yorkshire & humberside,female,white,Married/Widowed,52,Owns/Mortgage,Technical/None/Other
Labour,yorkshire & humberside,male,white,Married/Widowed,62,Owns/Outright,BA
